OpportunityId,Title,Agency,Source,PostDate,CloseDate,Description,TotalScore,CreatedAt,UpdatedAt,OpportunityUrl
00c7a53c87b60a8b71fe41e909bb48c9,"Office of Postsecondary Education (OPE): Student Support Service: Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP) Partnership Grants, Assistance Listing Number 84.334A",Department of Education,Grants.gov,2024-11-20T00:00:00.0000000,2025-02-04T00:00:00.0000000,"Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Free Internet access to the official edition of the Federal Register and the Code of Federal Regulations is available on GPO Access at: http://www.access.gpo.gov/nara/index.html. Please review the official application notice for pre-application and application requirements, application submission information, performance measures, priorities and program contact information. For the addresses for obtaining and submitting an application, please refer to our Revised Common Instructions for Applicants to Department of Education Discretionary Grant Programs, published in the Federal Register on December 7, 2022 . Purpose of Program: The GEAR UP program is a discretionary grant program that encourages eligible entities to provide support, and maintain a commitment, to eligible students from low-income backgrounds, including students with disabilities, to assist the students in obtaining a secondary school diploma (or its recognized equivalent) and to prepare for and succeed in postsecondary education. Under the GEAR UP program, the Department awards grants to two types of entities: (1) States and (2) Partnerships consisting of at least one degree-granting institution of higher education (IHE) and at least one local educational agency (LEA). Assistance Listing Number (ALN) 84.334A. ",22.08,2025-01-14T16:44:19.6670000,2025-01-14T16:44:19.6670000,
00e48829ac76b65f6b600af443401670,OJJDP FY25 Juvenile Drug Treatment Court Program &#8211; Invited to Apply Administrative Funding Adjustment,"Office of Juvenile Justice Delinquency Prevention ",Grants.gov,2024-11-04T00:00:00.0000000,2024-11-19T00:00:00.0000000,"With this solicitation, OJJDP seeks to build the capacity of states, state and local courts, units of local government, and federally recognized Tribal governments to implement new and innovative approaches to enhance existing juvenile drug treatment courts and improve outcomes for youth with substance use or co-occurring mental health disorders, including histories of trauma.",15.82,2025-01-14T16:44:19.2370000,2025-01-14T16:44:19.2370000,
00f594462be5b0326dd0a70d6d0651d1,"Role of T-Cells in HIV CNS Reservoir Seeding, Persistence, and Neuropathogenesis (R01 Clinical Trial Not Allowed)",National Institutes of Health,Grants.gov,2024-11-21T00:00:00.0000000,2025-03-19T00:00:00.0000000,"Eradicating latent reservoirs of HIV-1 within the body and achieving a sterilizing or functional cure have become priority areas in the AIDS field and NIH AIDS programs across many Institutes and Centers, including NIMH. In addition understanding the mechanisms of HIV- associated co-morbidities in the setting of effective anti-retroviral therapy (ART) is a major topic of interest in the field. HIV Associated CNS (central nervous system) co-morbidities continue to exist despite excellent virologic control in this compartment. HIV persistence and neuroinflammation also continues to observed in the CNS in the setting of ART. HIV targets the CNS early in infection, and HIV-infected individuals suffer from mild forms of neurological impairments even under antiretroviral therapy (ART). CD4+ T cells and monocytes mediate HIV entry into the brain and constitute a source for HIV persistence and neuronal damage. CD8+ T cells are also massively recruited in the CNS in acute infection to control viral replication.",4.19,2025-01-14T16:44:19.8970000,2025-01-14T16:44:19.8970000,
0116e3c3a10012cd0fcbf3a4fa322167,Efficient Additive Manufacturing for Advanced U-X Nuclear Fuel Alloys,Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=725057c023304c9e9a2ffd8a5f838db6,21.53,2025-01-14T16:44:17.5230000,2025-01-14T16:44:17.5230000,
0157db10b85bbc57717c8f7e73caf352,"Design, Monitoring and Evaluation (DME) Project Advisor",Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d2dff5896d2d476ab4cd1a0658fb394a,17.31,2025-01-14T16:44:16.7000000,2025-01-14T16:44:16.7000000,
01687801da4dc4db2de73529ea352fd0,2025 Alumni Engagement Innovation Fund (AEIF),U.S. Mission to Canada,Grants.gov,2024-12-13T00:00:00.0000000,2025-03-01T00:00:00.0000000,"The Public Diplomacy Section of the U.S. Embassy Ottawa is pleased to announce an open competition for past participants (&#8220;alumni&#8221;) of U.S. government-sponsored exchange programs to submit applications to the 2025 Alumni Engagement Innovation Fund (AEIF 2025). We seek proposals from teams of at least two alumni that meet all program eligibility requirements below. Exchange alumni interested in participating in AEIF 2025 should submit proposals to AlumniCanada@state.gov by February 28, 2025, 5:00 pm (EST). AEIF provides alumni of U.S. government-sponsored exchange programs with funding to expand on skills gained during their exchange experience to design and implement innovative solutions to global challenges facing their communities. Since its inception in 2011, AEIF has funded nearly 500 alumni-led projects around the world through a competitive global competition. This year, AEIF 2025 will provide funding for public service projects in support of U.S. foreign policy goals and U.S. Mission to Canada priorities. Goals and Objectives All project activities must take place outside of the United States and its territories. Proposals must have at least one of the following as a primary objective: Bring alumni of U.S. government-sponsored exchange programs in Canada together to build or expand an alumni network capable of working together on common interests and increase regional and global alumni collaboration; Strengthen the relationship between alumni of U.S. government-sponsored exchange programs in Canada and the U.S. Mission to Canada (U.S. Embassy Ottawa; U.S. Consulates General Vancouver, Calgary, Toronto, Montreal, Quebec City, and Halifax; and U.S. Consulate Winnipeg) to work together on activities that address mutual goals and challenges. They must also align with at least one of the following U.S. Mission to Canada strategic objectives: Increase public awareness and support for U.S.-Canada defense efforts, emphasizing our shared commitment to North American security and prosperity, by increasing support for joint initiatives like NORAD modernization, NATO commitments, and Arctic security; Enhance science and technology collaboration and inspire the next generation of innovators; Establish and strengthen cross-border sports relationships between Canada and the United States, with the aim of developing and implementing models that support community sports and create career pathways for leadership; Promote and spread awareness, understanding, and appreciation of the many shared values between the United States and Canada and the people of our two countries. Please be aware that projects funded through this grant&#8239;must&#8239;include an American element.&#8239;This could involve: a connection or partnership between Canadian and American organizations or institutions; an American expert taking part in the project; highlighting or examining shared values and interests between Canada and the United States; incorporating a U.S. approach or method you have learned about to address an issue or challenge facing your community, institution, or profession. Grant activities may take any number of forms, including academic competitions, conferences, workshops, courses, curriculum development, hackathons or app development, online projects, mock trials or moot court competitions,&#8239;simulations&#8239;and role-playing activities (e.g., Model Congress, Model United Nations), performances, or other activities. Proposals that do not align with one of more of the above objectives will be deemed ineligible. Participants and Audiences: One target audience must be alumni of U.S. government-sponsored exchange programs in Canada. Proposals must articulate additional target audiences and how they relate to advancing the chosen project objective/s. All application materials must be submitted by email to AlumniCanada@state.gov by 5pm EST on Friday, February 28, 2025. ",21.74,2025-01-14T16:44:20.8630000,2025-01-14T16:44:20.8630000,
0171d7a21cd93b814d19c0cf63e4cc0b,Urban Agriculture and Innovative Production (UAIP),Natural Resources Conservation Service,Grants.gov,2025-01-07T00:00:00.0000000,2025-03-11T00:00:00.0000000,"1. Federal Awarding Agency NameU.S. Department of Agriculture &#8211; Natural Resources Conservation Service - Office of Urban Agriculture and Innovative Production (OUAIP) Notice of Funding Opportunity (NFO) Title: Urban Agriculture and Innovative Production (UAIP) Competitive Grants Program2. Announcement TypeInitial Announcement 3. Notice of Funding Opportunity (NFO) NumberUSDA- NRCS-NHQ-UAIP-25-NOFO00014154. Assistance ListingThis opportunity is included under This program is listed in the Assistance Listings (previously referred to as the Catalog of Federal Financial Assistance) on Sam.gov under 10.935, Urban Agriculture and Innovative Production, searchable at: https://sam.gov/content/home.5. Funding DetailsThe amount of Federal funding expected to be available for award(s) is $2,500,000. However, the agency retains the discretion to award a larger or lesser amount.This opportunity is being released prior to appropriation and/or apportionment of funds for fiscal year 2025. Enactment of additional continuing resolutions or an appropriations act may affect the availability or level of funding for this program. There is no commitment to make a specific number of award(s).The agency expects the amount of each award to range from $100,000 to $250,000. Projects of 24 months in duration (2 years). Applicants should plan their projects based on an estimated project start date of September 30, 2025. 6. Key DatesApplication deadline: Submit via Grants.gov by 11:59 pm Eastern Time on March 10, 2025. A webinar has been pre-recorded and the presentation and supporting information can be found at this link https://youtu.be/63snY3AZrvc. The recorded webinar can also be found in the &#8220;Related Documents&#8221; tab of this opportunity and in the program website.The agency anticipates making selections by July 1, 2025, and expects to execute awards by September 30, 2025. These dates are estimates and are subject to change. 7. Executive SummaryThe primary goal of the UAIP projects is to support the development of urban agriculture and innovative production. The UAIP grants being made available for application under this NFO support planning and implementation activities. Planning activities will initiate, develop, or support the efforts of farmers, gardeners, citizens, government officials, schools, members of tribal communities, and other stakeholders in areas where access to fresh foods are limited or unavailable. Implementation activities will accelerate existing and emerging models of urban and/or innovative agricultural practices that serve multiple farmers or gardeners. Innovation may include new and emerging, as well as indigenous or non-traditional agricultural practices. 8. Contact InformationGrants.gov issues - Contact Grants.gov Applicant Support at 1-800-518-4726 or support@grants.gov. For all other questions, email FPAC-BC Grants and Agreements Division (GAD): Email: Jose.Berna@usda.gov with a copy to NFO.FPAC@USDA.GOV Subject line of email: USDA- NRCS-NHQ-UAIP-25-NOFO0001415Name: Jose A. Berna, Grants Management Specialist, FPAC Business Center (FPAC-BC)The agency will not address questions about a potential applicant&#8217;s eligibility nor the merits of a specific proposal. To protect the integrity of the competitive process, applicants must not contact agency program staff with questions; contact GAD staff as directed above. Subscribe to receive correspondence issued by GAD. Topics may highlight award-management issues, announce implementation of new policies or procedures, provide guides and tools for applying for awards, etc. To subscribe, visit https://public.govdelivery.com/accounts/USDAFARMERS/subscriber/new?topic_id=USDAFARMERS_4170 9. TrainingApplicants can access highly recommended, free Grants 101 Training via https://www.cfo.gov/coffa/training-coffa/. The training consists of five modules: 1) laws, regulations, and guidance; 2) financial assistance mechanisms; 3) uniform guidance administrative requirements; 4) cost principles; and 5) risk management and single audit. ",27.48,2025-01-14T16:44:21.4830000,2025-01-14T16:44:21.4830000,
0187a87d89c2d36a64fef8ec7a9a605e,USAFA Graduation Backdrop 2025 Sources Sought,Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ec0d95de80ef444da4c2f86fdd1ed094,20.98,2025-01-14T16:44:03.6200000,2025-01-14T16:44:03.6200000,
01886aa4fbd4e4cf154d45390ebe1f43,"15BCTS25R00000003 - SU/MH/SOT in Baltimore, MD",Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=799037dd1ac2489cb2434d1a5cd30b9d,11.25,2025-01-14T16:44:17.3600000,2025-01-14T16:44:17.3600000,
01bf77ee14903ebcebcf5377e1186df5,Clinical Characterization of Cancer Therapy-induced Adverse Sequelae and Mechanism-based Interventional Strategies (R01 Clinical Trial Optional),National Institutes of Health,Grants.gov,2024-11-06T00:00:00.0000000,2028-01-08T00:00:00.0000000,"The purpose of this Funding Opportunity Announcement (FOA) is to support collaborative research projects designed to address adverse sequelae of cancer therapies that persist and become chronic comorbidities or develop as delayed posttreatment effects. This FOA supports basic, translational, and clinical research projects that seek to identify the mechanisms of therapy-induced adverse sequelae, clinically characterize the adverse sequelae, or translate the mechanistic understanding into therapeutic approaches to prevent or minimize the development of long-term sequelae. Research projects should focus on mechanistic studies with translational endpoints and longitudinal clinical phenotyping to identify and validate clinical endpoints (biomarkers, imaging, patient-reported outcomes, or combined elements) for future use in clinical trials that will evaluate the efficacy of interventions designed to prevent or reduce specific adverse sequelae.",7.78,2025-01-14T16:44:19.4670000,2025-01-14T16:44:19.4670000,
01cc4835828cdfe366596f51238e8b9b,Directional Hemispherical Reflectometer Solicitation,Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d2cc9af09cf34a5283470e13e5bab15d,16.33,2025-01-14T16:44:16.7000000,2025-01-14T16:44:16.7000000,
0243babe8654c55abeeaa13301f16ccf,FY 2025 University Nuclear Research Infrastructure Revitalization,Idaho Field Office,Grants.gov,2024-11-20T00:00:00.0000000,2025-02-13T00:00:00.0000000,"Projects proposed under the Infrastructure Revitalization FOA are intended to: &#8226; revitalize the U.S. capacity for university-led nuclear R&amp;D by establishing and/or improving infrastructure to align with the advanced reactor technologies being deployed by the U.S. nuclear industry; &#8226; support innovative combinations of facilities, equipment, and related capabilities to maximize the value of investments toward R&amp;D; &#8226; emphasize support for rapid, lower-cost approaches that can enable advanced-reactor-relevant R&amp;D, education and workforce development prior to any universities establishing advanced research reactors; and &#8226; involve consortia among diverse types of institutions to maximize participation and realization of benefits by underrepresented communities that have historically faced challenges to such access. Requests should focus on a goal or capability that significantly adds to the current U.S. capacity to support advanced reactor R&amp;D, education, and workforce development. Applicants must demonstrate the connection among requested pieces of equipment or other project elements toward a key objective or outcome. Applications made of several uncorrelated equipment requests are not of interest. A request should not duplicate existing capabilities. Activities that involve the planning or construction of new university nuclear reactors will not be considered. NE reserves the right to respond to potential shifts in priorities during FY 2025 that may be driven by events, policy developments, or Congressional/budget direction. DOE-NE will factor such considerations into decisions related to the timing and scale of award announcements associated with this FOA.",18.17,2025-01-14T16:44:19.6700000,2025-01-14T16:44:19.6700000,
0248fa561f281dc78087ce7752cf82c8,Black Hills National Forest - Vehicle Accident Repair,Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=343df75f81d7458db1e23fd3b4f58696,13.87,2025-01-14T16:44:17.8730000,2025-01-14T16:44:17.8730000,
02840d1a6e93346c0687dbf9c966ad31,2025 Alumni Engagement Innovation Fund,U.S. Mission to Jordan,Grants.gov,2024-11-18T00:00:00.0000000,2025-01-21T00:00:00.0000000,"The Embassy of the United States in Jordan announces an open competition for of U.S. government-funded and U.S. government-sponsored exchange programs &#8220;alumni&#8221; to submit applications to the 2025 Alumni Engagement Innovation Fund (AEIF 2025). We welcome proposals from teams consisting of at least two alumni that meet all program eligibility requirements below. Exchange alumni interested in participating in AEIF 2025 should submit proposals to (JordanAlumni@state.gov) by January 20, 2025/ 5:00 p.m. (Amman time). ",21.86,2025-01-14T16:44:19.6630000,2025-01-14T16:44:19.6630000,
02b27d121c5787668366c3412b848d88,Ending HIV as a public health threat by sustaining and accelerating a comprehensive HIV and TB response in India under the President&apos;s Emergency Plan for AIDS Relief (PEPFAR),Centers for Disease Control-GHC,Grants.gov,2024-12-06T00:00:00.0000000,2025-02-25T00:00:00.0000000,"The Award Ceiling for Year 1 is 0 (none). CDC anticipates an Approximate Total Fiscal Year Funding amount of $4,000,000 for Year 1, subject to the availability of funds.We seek to support the National AIDS Control Program (NACP) to sustain and accelerate HIV epidemic control in priority geographies (e.g. Andhra Pradesh and others as applicable) across the prevention to treatment cascade including viral load suppression (VLS). In alignment with the NACP Phase V, you will build on innovative, evidence-based, person-centered strategies to improve:HIV and TB prevention.HIV and TB case-finding.Improved tools for TB case identification.Linkage to care continuum.Treatment retention and viral load suppression.You should demonstrate an innovative plan to collaborate with and support district, state, national teams, communities, private sector organizations, and other stakeholders to address program gaps and strengthen the HIV/TB response. Technical assistance activities may include, but are not limited to:Closing testing, treatment, and equity gaps.Reinforcing collaborations to complement NACP.Improving data use for impact.Expanding ability to respond to emerging public health threats.",16.89,2025-01-14T16:44:18.8130000,2025-01-14T16:44:18.8130000,
02c85a3c3c14247387431d9bdae71c39,Advancing Food and Childcare Systems in Rural Georgia: Childcare Access and Nutrition Systems (CANS) Grant Program,Southeast Crescent Regional Commission,Grants.gov,2024-11-01T00:00:00.0000000,2024-12-05T00:00:00.0000000,"The Southeast Crescent Regional Commission (SCRC) is publishing this Notice of Funding Availability (NOFA) to solicit applications for grants under the FY 2025 Childcare Access and Nutrition Systems (CANS) Grant Program. This program is being conducted in partnership with the U.S. Department of Agriculture Rural Development (USDA RD), through the Rural Business-Cooperative Service (RBCS). The NOFA provides an overview of the CANS Grant Program and outlines specific requirements needed to complete the application process. Access to the application and additional information can be found on scrc.gov. Important Dates Full Application Portal Opens &#8230;&#8230;&#8230;&#8230;&#8230;. November 1, 2024 Letter of Interest (LOI) Due.................. Prior to Full Application Submission Full Application Due Date &#8230;&#8230;&#8230;&#8230;&#8230;&#8230;&#8230;.. December 4, 2024 SCRC Notification of Awards &#8230;&#8230;&#8230;&#8230;&#8230;. December 13, 2024 Anticipated Project Start Date ............ January 6, 2025 Funding Overview The Childcare Access and Nutrition Systems (CANS) Grant Program is funded through a cooperative agreement between the U.S. Department of Agriculture Rural Development (USDA RD) and the Southeast Crescent Regional Commission (SCRC). USDA Rural Business Cooperative Service provided the funding to SCRC to advance regional food and childcare systems in the distressed-identified rural counties of Dougherty and Upson, Georgia. The SCRC geographic area stretches from the Tidewater part of eastern Virginia southward through the Carolinas along Interstate 95, west through Georgia and lower Alabama, and northwesterly to the Mississippi Delta. According to a recent Wallet Hub economic study, Georgia is the sixth most financially distressed state in the country and has the ninth most people with accounts in distress and the 10th highest average number of accounts in distress across the United States. Georgia&#8217;s Southeast Crescent region is mostly rural, offering natural beauty, a distinct cultural heritage and relative proximity to metropolitan Atlanta, which is the leading economic driver of the state. While most counties in Georgia are economically distressed, the changing demographics of the region, ranging from high-growth areas to those that are losing population, require special interventions and policies to help close the region&#8217;s development and economic growth gap. This grant program will support rural Georgia communities&#8217; economic development efforts and maintain and improve a healthy Georgia population by leveraging funding assistance from the USDA RD to key Administration priorities, such as advancing racial equity place-based growth, and opportunity by ensuring rural residents in the most distressed communities in Georgia have equitable access to RD programs and benefit from RD funded projects. Funding Strategy &#8226; Target Multiple Sectors: The strategic investment in childcare will support an increase in workforce participation. Comparable investment in food production and sustainable farming ends food insecurity and supports sustainability, while positively contributing to multiple facets of rural life. &#8226; Increase Local Food Production: By engaging local farms and food related businesses, and encouraging sustainable food system practices, these projects will support job creation, economic growth, and better health outcomes. Local food production can improve regional self-sufficiency and contribute to long-term economic stability. &#8226; Leverage Employer and Community Partnerships: Through employer and community partnerships, these projects will encourage local support, thus ensuring that both businesses and communities have a stake in the success of the project and its broader implications. &#8226; Scalable Impact: Funded projects will offer an investment in local communities while impacting a broader audience. By expanding access to stronger local food systems and improving access to childcare services, these projects address immediate infrastructure needs, building a foundation for long-term community resilience. Link to Application Portal",13.04,2025-01-14T16:44:19.2370000,2025-01-14T16:44:19.2370000,
